title,description,genre,type,poster_url,predicted_emotions,tone_tags
"Vendetta: Truth, Lies and The Mafia","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?","Crime TV Shows, Docuseries, International TV Shows",TV Show,https://image.tmdb.org/t/p/w500/91A5GVW13g4SctllYK5SCBP3ajP.jpg,['curiosity'],['Surreal']
Bangkok Breaking,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.","Crime TV Shows, International TV Shows, TV Action & Adventure",TV Show,https://image.tmdb.org/t/p/w500/6VeDn4oIeUK4XwjWGWMb6qvMImQ.jpg,['realization'],[]
Je Suis Karl,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.","Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/gQJcTlIfLJayp5TdlvFzwh9gtMp.jpg,[],[]
Confessions of an Invisible Girl,"When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.","Children & Family Movies, Comedies",Movie,https://image.tmdb.org/t/p/w500/fRxz9cKaCOF5noUBvoA6cebOdUE.jpg,"['optimism', 'realization']","['Uplifting', 'Redemptive']"
Crime Stories: India Detectives,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,"British TV Shows, Crime TV Shows, Docuseries",TV Show,https://image.tmdb.org/t/p/w500/w8oUG8e72MeyGyXhGtOpau7O05q.jpg,['neutral'],[]
Dear White People,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.","TV Comedies, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/thHk9AncE8g2Hsb1iK1xHnlq23j.jpg,['neutral'],[]
Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.","Documentaries, International Movies",Movie,https://image.tmdb.org/t/p/w500/4ftSXSlgZvp4IDuOmX7Px40q60X.jpg,['neutral'],[]
Falsa identidad,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/rGIVID9KFrE6oMOtqost2Ccd9Co.jpg,['neutral'],[]
Intrusion,"After a deadly home invasion at a coupleâs new dream house, the traumatized wife searches for answers â and learns the real danger is just beginning.",Thrillers,Movie,https://image.tmdb.org/t/p/w500/o6ozTBflWXlBje0uxJv4m6s4HTq.jpg,['neutral'],[]
Jaguar,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",TV Show,https://image.tmdb.org/t/p/w500/10tPBGrg1tM0Gck4db6NPwT6NfF.jpg,['neutral'],[]
Monsters Inside: The 24 Faces of Billy Milligan,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.","Crime TV Shows, Docuseries, International TV Shows",TV Show,https://image.tmdb.org/t/p/w500/w4BvMx1wNVYFLeXHuGm66OENZEh.jpg,['neutral'],[]
Resurrection: Ertugrul,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.","International TV Shows, TV Action & Adventure, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/rOar34cNLn2sgDH5FmAa1bvMpBv.jpg,['neutral'],[]
Avvai Shanmughi,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.","Comedies, International Movies",Movie,,['neutral'],[]
Go! Go! Cory Carson: Chrissy Takes the Wheel,"From arcade games to sled days and hiccup cures, Cory Carsonâs curious little sister Chrissy speeds off on her own for fun and adventure all over town!",Children & Family Movies,Movie,https://image.tmdb.org/t/p/w500/eZvpTcUk0L8paEqegXzUcJa9nG.jpg,[],[]
Jeans,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.","Comedies, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/uICyDD1FuQIjAm0M0gL6wq5RgPZ.jpg,['neutral'],[]
Love on the Spectrum,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.","Docuseries, International TV Shows, Reality TV",TV Show,https://image.tmdb.org/t/p/w500/7QnZq8yGLCHk4gFSsPRjAsAa4m1.jpg,[],[]
Minsara Kanavu,A tangled love triangle ensues when a man falls for a woman studying to become a nun â and she falls for the friend he enlists to help him pursue her.,"Comedies, International Movies, Music & Musicals",Movie,https://image.tmdb.org/t/p/w500/fAet30jOD12zba47n5MsfeMSLWD.jpg,['neutral'],[]
Grown Ups,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",Comedies,Movie,https://image.tmdb.org/t/p/w500/ys0LscDFAuZxfUcpH5moiPeFfXs.jpg,['sadness'],"['Bittersweet', 'Melancholic']"
Dark Skies,"A familyâs idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.","Horror Movies, Sci-Fi & Fantasy",Movie,https://image.tmdb.org/t/p/w500/dtWcxTw4VGRyR7qNDlYFCdl5Q9.jpg,['neutral'],[]
Paranoia,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",Thrillers,Movie,https://image.tmdb.org/t/p/w500/lGGL8S1ctE7Ly0C1tohm2jhtlmm.jpg,['neutral'],[]
Ankahi Kahaniya,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.","Dramas, Independent Movies, International Movies",Movie,https://image.tmdb.org/t/p/w500/wNDu6aBv0yynUr8TcvSLUe8QLPt.jpg,"['realization', 'sadness', 'surprise']","['Bittersweet', 'Melancholic']"
Chicago Party Aunt,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood â and a soft spot for her soul-searching nephew.,TV Comedies,TV Show,https://image.tmdb.org/t/p/w500/2iGvVnhvIpzyPLqK18LvgQ3PgPk.jpg,"['admiration', 'neutral']",[]
Sex Education,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.","British TV Shows, International TV Shows, TV Comedies",TV Show,https://image.tmdb.org/t/p/w500/bc3bmTdnoKcRuO9xdQKgAbB7Y9Z.jpg,"['gratitude', 'neutral']",['Wholesome']
Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits â with deadly high stakes.","International TV Shows, TV Dramas, TV Thrillers",TV Show,https://image.tmdb.org/t/p/w500/cIIMvxLztRs1MbXH0oqaw3SGV0q.jpg,['neutral'],[]
Tayo and Little Wizards,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,Kids' TV,TV Show,https://image.tmdb.org/t/p/w500/bopqKXf96Jbzff4Qpxr5Eh70Zxm.jpg,['realization'],[]
The Father Who Moves Mountains,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing â and risk everything â to find him.","Dramas, International Movies, Thrillers",Movie,https://image.tmdb.org/t/p/w500/d2aGQwebCkXqNqOVYGqOzPhguCa.jpg,['neutral'],[]
The Stronghold,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.","Action & Adventure, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/nLanxl7Xhfbd5s8FxPy8jWZw4rv.jpg,['neutral'],[]
Angry Birds,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.","Kids' TV, TV Comedies",TV Show,https://image.tmdb.org/t/p/w500/8lN3RNXtCdFMMb6kbpdrmdsuRr2.jpg,['neutral'],[]
Birth of the Dragon,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.","Action & Adventure, Dramas",Movie,https://image.tmdb.org/t/p/w500/odn4Hj2u7IQhJRmr15pTYZbkbc.jpg,['neutral'],[]
Chhota Bheem,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",Kids' TV,TV Show,https://image.tmdb.org/t/p/w500/tc4GJ8jg8Ji8OtUBGKUlClH0zLx.jpg,['admiration'],[]
He-Man and the Masters of the Universe,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â and their destiny to defend Eternia from sinister Skeletor.,"Kids' TV, TV Sci-Fi & Fantasy",TV Show,https://image.tmdb.org/t/p/w500/tawmMe0D3ncyzEmmfMraGucXBCA.jpg,['neutral'],[]
Jaws,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.","Action & Adventure, Classic Movies, Dramas",Movie,https://image.tmdb.org/t/p/w500/lxM6kqilAdpdhqUl2biYp5frUxE.jpg,[],[]
Jaws 2,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.","Dramas, Horror Movies, Thrillers",Movie,https://image.tmdb.org/t/p/w500/cN3ijEwsn4kBaRuHfcJpAQJbeWe.jpg,['neutral'],[]
Jaws 3,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.","Action & Adventure, Horror Movies, Thrillers",Movie,https://image.tmdb.org/t/p/w500/kqDXj53F9paqVGJLGfHtz7giJ3s.jpg,"['realization', 'neutral']",[]
Jaws: The Revenge,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â but a great white shark follows her there.","Action & Adventure, Horror Movies, Thrillers",Movie,https://image.tmdb.org/t/p/w500/6mupOKQ0IFK38hPoWsow24RXIJR.jpg,['neutral'],[]
My Heroes Were Cowboys,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",Documentaries,Movie,https://image.tmdb.org/t/p/w500/pZwLqOPiBrrUCheVTVB17ix2ap.jpg,"['caring', 'love']","['Wholesome', 'Warm Nostalgia']"
Safe House,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,Action & Adventure,Movie,https://image.tmdb.org/t/p/w500/e4a2jpwMzemN3zZSv8JQKhQEyWY.jpg,['neutral'],[]
The Smart Money Woman,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.","International TV Shows, Romantic TV Shows, TV Comedies",TV Show,https://image.tmdb.org/t/p/w500/kSifdgS3PR0hpatVt0IvtAskch9.jpg,['neutral'],[]
Training Day,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,"Dramas, Thrillers",Movie,https://image.tmdb.org/t/p/w500/miM5b0i5il3XT1qMHfQQ8k5DJ6B.jpg,['neutral'],[]
Castle and Castle,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.","International TV Shows, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/q89743iqZaHhBRdTrLd2JltdHFm.jpg,['neutral'],[]
Dharmakshetra,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.","International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",TV Show,https://image.tmdb.org/t/p/w500/mMo5kK8FrKDSsqXOjiYe3H11ueJ.jpg,['neutral'],[]
InuYasha the Movie 2: The Castle Beyond the Looking Glass,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.","Action & Adventure, Anime Features, International Movies",Movie,https://image.tmdb.org/t/p/w500/ceJsKxIcy4KOFp3MEqCcRkR7Daz.jpg,['realization'],[]
InuYasha the Movie 3: Swords of an Honorable Ruler,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,"Action & Adventure, Anime Features, International Movies",Movie,https://image.tmdb.org/t/p/w500/5MbXmcxOJ8wrXZ4kmikiI72Ipbe.jpg,['neutral'],[]
InuYasha the Movie 4: Fire on the Mystic Island,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.","Action & Adventure, Anime Features, International Movies",Movie,https://image.tmdb.org/t/p/w500/Am3rBqYfNmeLqv3JULfUjxXQgNS.jpg,['neutral'],[]
InuYasha the Movie: Affections Touching Across Time,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.","Action & Adventure, Anime Features, International Movies",Movie,https://image.tmdb.org/t/p/w500/geid1g2qQ4MuveUHVchrPfCkbX0.jpg,[],[]
Nailed It,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",Reality TV,TV Show,https://image.tmdb.org/t/p/w500/lcRGgpE2rOF8dp8A1FjGAXkbRke.jpg,['annoyance'],[]
Naruto Shippuden the Movie: Blood Prison,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.","Action & Adventure, Anime Features, International Movies",Movie,https://image.tmdb.org/t/p/w500/4WT7zYFpe0fsbg6TitppiHddWAh.jpg,['neutral'],[]
Naruto ShippÃ»den the Movie: Bonds,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.","Action & Adventure, Anime Features, International Movies",Movie,,['neutral'],[]
Naruto ShippÃ»den the Movie: The Will of Fire,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.","Action & Adventure, Anime Features, International Movies",Movie,,[],[]
Naruto Shippuden: The Movie,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â but to do so, he must die.","Action & Adventure, Anime Features, International Movies",Movie,https://image.tmdb.org/t/p/w500/vDkct38sSFSWJIATlfJw0l3QOIR.jpg,['neutral'],[]
Naruto Shippuden: The Movie: The Lost Tower,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.","Action & Adventure, Anime Features, International Movies",Movie,https://image.tmdb.org/t/p/w500/6e2YvN1tQK4xQHlmy7GJTuXOt2u.jpg,['neutral'],[]
Naruto the Movie 2: Legend of the Stone of Gelel,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.","Action & Adventure, Anime Features, International Movies",Movie,https://image.tmdb.org/t/p/w500/itKMldwL6uhUZYO3X78NOFU4zzO.jpg,['neutral'],[]
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.","Action & Adventure, Anime Features, International Movies",Movie,https://image.tmdb.org/t/p/w500/mmKiJ93x6uhTwJlrxCoY38R4qo6.jpg,['neutral'],[]
Naruto the Movie: Ninja Clash in the Land of Snow,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.","Action & Adventure, Anime Features, International Movies",Movie,https://image.tmdb.org/t/p/w500/eUNRUeSNzm8LktH4HRaYiAReB6R.jpg,['realization'],[]
Nightbooks,Scary story fan Alex must tell a spine-tingling tale every night â or stay trapped with his new friend in a wicked witch's magical apartment forever.,Children & Family Movies,Movie,https://image.tmdb.org/t/p/w500/ysJte1iqN8pFQ470tumnViB1wHP.jpg,['fear'],[]
Numberblocks,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",Kids' TV,TV Show,https://image.tmdb.org/t/p/w500/vt872bR11jYDRSzTSfLuOmb2SMt.jpg,['amusement'],['Gentle Humor']
Raja Rasoi Aur Anya Kahaniyan,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.","Docuseries, International TV Shows",TV Show,https://image.tmdb.org/t/p/w500/rNErg2qYVcm9DInwJeAkgSt2HtZ.jpg,['neutral'],[]
Saved by the Bell,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.","Kids' TV, TV Comedies",TV Show,https://image.tmdb.org/t/p/w500/9YC576fs6XQR2pfPDJn4kcmG8T5.jpg,['neutral'],[]
Schumacher,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.","Documentaries, International Movies, Sports Movies",Movie,https://image.tmdb.org/t/p/w500/ucNYfsbX1Z4tjMSr3waxsHMVjve.jpg,"['realization', 'neutral']",[]
Stories by Rabindranath Tagore,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,"International TV Shows, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/su1OKx5CiPWnYcFwe1WKaK1hLGZ.jpg,['neutral'],[]
Too Hot To Handle: Latino,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.","International TV Shows, Reality TV, Romantic TV Shows",TV Show,https://image.tmdb.org/t/p/w500/tnW1J8sg0W8WiL9083tSW6K0yL3.jpg,['neutral'],[]
A StoryBots Space Adventure,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,Children & Family Movies,Movie,https://image.tmdb.org/t/p/w500/49Tbnvhw3wFdXPwh4K6t6UOHkpi.jpg,"['admiration', 'approval']",[]
Jack Whitehall: Travels with My Father,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.","British TV Shows, Docuseries, International TV Shows",TV Show,https://image.tmdb.org/t/p/w500/4YmLWIECW3OE7NiP9uwUK35i2uH.jpg,['neutral'],[]
King of Boys,"When a powerful businesswomanâs political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.","Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/vWI6qVGOklBCfdcskDdVcm2JXA6.jpg,['neutral'],[]
The World's Most Amazing Vacation Rentals,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",Reality TV,TV Show,https://image.tmdb.org/t/p/w500/8BVUyg7Gh1EixUdmH8hxCwQM26j.jpg,['neutral'],[]
You vs. Wild: Out Cold,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",Children & Family Movies,Movie,https://image.tmdb.org/t/p/w500/k69MwGlDXT3sh0k7w47ORxhFgzh.jpg,['neutral'],[]
Yowamushi Pedal,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.","Anime Series, International TV Shows",TV Show,https://image.tmdb.org/t/p/w500/688PJsb1sVWgosrQCbwT32vJKfI.jpg,['admiration'],[]
Little Singham - Black Shadow,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaalâs new evil plans! Can his inner strength help him defeat the enemy?,"Children & Family Movies, Comedies",Movie,,['curiosity'],['Surreal']
Tughlaq Durbar,A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move.,"Comedies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/Ajxa9eE4vojurvYqSmRQVLSh6bt.jpg,['realization'],[]
Tughlaq Durbar (Telugu),A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move.,"Comedies, Dramas, International Movies",Movie,,['realization'],[]
Firedrake the Silver Dragon,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",Children & Family Movies,Movie,https://image.tmdb.org/t/p/w500/ucDrOXUrVnr9X3ZmXP2Q68HDIHr.jpg,['neutral'],[]
Kate,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",Action & Adventure,Movie,https://image.tmdb.org/t/p/w500/uJgdT1boTSP0dDIjdTgGleg71l4.jpg,['neutral'],[]
Lucifer,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.","Crime TV Shows, TV Comedies, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/ekZobS8isE6mA53RAiGDG93hBxL.jpg,['neutral'],[]
Metal Shop Masters,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",Reality TV,TV Show,https://image.tmdb.org/t/p/w500/gZWZxoeTYWEweD2nzUHs75axdLO.jpg,['neutral'],[]
Omo Ghetto: the Saga,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.","Action & Adventure, Comedies, Dramas",Movie,https://image.tmdb.org/t/p/w500/yAFYuGRA9D1phwDvEfzVZKAJYkF.jpg,['neutral'],[]
PokÃ©mon Master Journeys: The Series,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every PokÃ©mon. Together, they're on a journey to adventure!","Anime Series, Kids' TV",TV Show,,['excitement'],['Uplifting']
Prey,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,"International Movies, Thrillers",Movie,https://image.tmdb.org/t/p/w500/h58U7d1OZyuWaCWMYvw4mfnv6H3.jpg,['neutral'],[]
Titipo Titipo,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,"Kids' TV, Korean TV Shows",TV Show,https://image.tmdb.org/t/p/w500/fGD4cghXGvMIgvLG4Eq4cD0Gs0o.jpg,['neutral'],[]
Blood Brothers: Malcolm X & Muhammad Ali,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.","Documentaries, Sports Movies",Movie,https://image.tmdb.org/t/p/w500/kdOXdPIgbbCHXb51tWJZ0r8kZfe.jpg,['neutral'],[]
Mighty Raju,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place â but that will mean facing plenty of challenges!",Kids' TV,TV Show,https://image.tmdb.org/t/p/w500/3A3DN0eCOB8jSfaQHAQVwixN4HW.jpg,"['admiration', 'approval', 'realization']",[]
Paradise Hills,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. Thatâs bad enough, but its real purpose is even worse.","Sci-Fi & Fantasy, Thrillers",Movie,https://image.tmdb.org/t/p/w500/7V1N8vMPNDw6be3MDiA4DC0s4Bv.jpg,['disgust'],[]
The Women and the Murderer,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,"Documentaries, International Movies",Movie,https://image.tmdb.org/t/p/w500/4pNmisYcsu3fsC5XlOpt0LbyjA7.jpg,['neutral'],[]
Into the Night,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,"International TV Shows, TV Dramas, TV Mysteries",TV Show,https://image.tmdb.org/t/p/w500/na6fk6WculNrUPCPPQSPNjNyjvX.jpg,['neutral'],[]
JJ+E,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?","Dramas, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/iaIFLYKIInDohWnq2Lm63PKipi6.jpg,['curiosity'],['Surreal']
Show Dogs,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,"Children & Family Movies, Comedies",Movie,https://image.tmdb.org/t/p/w500/2dvxCBUfDG2cAdkA921rERxhtcp.jpg,"['caring', 'neutral']",['Wholesome']
The Circle,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",Reality TV,TV Show,https://image.tmdb.org/t/p/w500/bQVqd5rWrx5GbXhJNuvKy4Viz6j.jpg,['neutral'],[]
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.","Documentaries, Music & Musicals",Movie,https://image.tmdb.org/t/p/w500/pIi0moV3b9pA7wJbgAea379WcnO.jpg,['neutral'],[]
Kid Cosmic,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined â and he can't do it alone.,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",TV Show,https://image.tmdb.org/t/p/w500/88HdcCMumGqGAt2kR3vVOr8NYiA.jpg,"['realization', 'neutral']",[]
Octonauts: Above & Beyond,"The Octonauts expand their exploration beyond the sea âÂ and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.","British TV Shows, Kids' TV",TV Show,https://image.tmdb.org/t/p/w500/oNdtDo4lbIJ8kVXhecdRFM0Pf73.jpg,['neutral'],[]
