title,type,genre,tags,mood_tag,mood_tag_standard,source
Jeans,Movie,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",Happy,Happy,Netflix
Love on the Spectrum,TV Show,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",Happy,Happy,Netflix
Minsara Kanavu,Movie,"Comedies, International Movies, Music & Musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun â and she falls for the friend he enlists to help him pursue her.,Happy,Happy,Netflix
Grown Ups,Movie,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",Happy,Happy,Netflix
Dark Skies,Movie,"Horror Movies, Sci-Fi & Fantasy","A familyâs idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",fear,Anxious,Netflix
Paranoia,Movie,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",disgust,Stressed,Netflix
Ankahi Kahaniya,Movie,"Dramas, Independent Movies, International Movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",Happy,Happy,Netflix
Chicago Party Aunt,TV Show,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood â and a soft spot for her soul-searching nephew.,sadness,Sad,Netflix
Sex Education,TV Show,"British TV Shows, International TV Shows, TV Comedies","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",neutral,Neutral,Netflix
Squid Game,TV Show,"International TV Shows, TV Dramas, TV Thrillers","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits â with deadly high stakes.",neutral,Neutral,Netflix
Tayo and Little Wizards,TV Show,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,Excited,Excited,Netflix
The Father Who Moves Mountains,Movie,"Dramas, International Movies, Thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing â and risk everything â to find him.",fear,Anxious,Netflix
The Stronghold,Movie,"Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",neutral,Neutral,Netflix
Angry Birds,TV Show,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",Excited,Excited,Netflix
Birth of the Dragon,Movie,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",disgust,Stressed,Netflix
Chhota Bheem,TV Show,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",Excited,Excited,Netflix
He-Man and the Masters of the Universe,TV Show,"Kids' TV, TV Sci-Fi & Fantasy",Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â and their destiny to defend Eternia from sinister Skeletor.,fear,Anxious,Netflix
Jaws,Movie,"Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",fear,Anxious,Netflix
Jaws 2,Movie,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",fear,Anxious,Netflix
Jaws 3,Movie,"Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",disgust,Stressed,Netflix
Jaws: The Revenge,Movie,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â but a great white shark follows her there.",fear,Anxious,Netflix
My Heroes Were Cowboys,Movie,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",Happy,Happy,Netflix
Safe House,Movie,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,fear,Anxious,Netflix
The Smart Money Woman,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",Happy,Happy,Netflix
Training Day,Movie,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,disgust,Stressed,Netflix
Castle and Castle,TV Show,"International TV Shows, TV Dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",neutral,Neutral,Netflix
Dharmakshetra,TV Show,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",neutral,Neutral,Netflix
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",sadness,Sad,Netflix
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,disgust,Stressed,Netflix
InuYasha the Movie 4: Fire on the Mystic Island,Movie,"Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",neutral,Neutral,Netflix
InuYasha the Movie: Affections Touching Across Time,Movie,"Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",fear,Anxious,Netflix
Nailed It,TV Show,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",disgust,Stressed,Netflix
Naruto Shippuden the Movie: Blood Prison,Movie,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",fear,Anxious,Netflix
Naruto ShippÃ»den the Movie: Bonds,Movie,"Action & Adventure, Anime Features, International Movies","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",fear,Anxious,Netflix
Naruto ShippÃ»den the Movie: The Will of Fire,Movie,"Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",anger,Stressed,Netflix
Naruto Shippuden: The Movie,Movie,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â but to do so, he must die.",Excited,Excited,Netflix
Naruto Shippuden: The Movie: The Lost Tower,Movie,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",neutral,Neutral,Netflix
Naruto the Movie 2: Legend of the Stone of Gelel,Movie,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",fear,Anxious,Netflix
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,"Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",neutral,Neutral,Netflix
Naruto the Movie: Ninja Clash in the Land of Snow,Movie,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",sadness,Sad,Netflix
Nightbooks,Movie,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night â or stay trapped with his new friend in a wicked witch's magical apartment forever.,fear,Anxious,Netflix
Numberblocks,TV Show,Kids' TV,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",joy,Happy,Netflix
Raja Rasoi Aur Anya Kahaniyan,TV Show,"Docuseries, International TV Shows","Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",neutral,Neutral,Netflix
Saved by the Bell,TV Show,"Kids' TV, TV Comedies","From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",neutral,Neutral,Netflix
Schumacher,Movie,"Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",neutral,Neutral,Netflix
Stories by Rabindranath Tagore,TV Show,"International TV Shows, TV Dramas",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,neutral,Neutral,Netflix
Too Hot To Handle: Latino,TV Show,"International TV Shows, Reality TV, Romantic TV Shows","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",neutral,Neutral,Netflix
A StoryBots Space Adventure,Movie,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,neutral,Neutral,Netflix
Jack Whitehall: Travels with My Father,TV Show,"British TV Shows, Docuseries, International TV Shows","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",neutral,Neutral,Netflix
King of Boys,Movie,"Dramas, International Movies","When a powerful businesswomanâs political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",fear,Anxious,Netflix
The World's Most Amazing Vacation Rentals,TV Show,Reality TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",neutral,Neutral,Netflix
You vs. Wild: Out Cold,Movie,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",Excited,Excited,Netflix
Yowamushi Pedal,TV Show,"Anime Series, International TV Shows","A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",fear,Anxious,Netflix
Little Singham - Black Shadow,Movie,"Children & Family Movies, Comedies",Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaalâs new evil plans! Can his inner strength help him defeat the enemy?,anger,Stressed,Netflix
Tughlaq Durbar,Movie,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move.,disgust,Stressed,Netflix
Tughlaq Durbar (Telugu),Movie,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move.,disgust,Stressed,Netflix
Firedrake the Silver Dragon,Movie,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",fear,Anxious,Netflix
Kate,Movie,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",anger,Stressed,Netflix
Lucifer,TV Show,"Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",disgust,Stressed,Netflix
Metal Shop Masters,TV Show,Reality TV,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",neutral,Neutral,Netflix
Omo Ghetto: the Saga,Movie,"Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",neutral,Neutral,Netflix
PokÃ©mon Master Journeys: The Series,TV Show,"Anime Series, Kids' TV","As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every PokÃ©mon. Together, they're on a journey to adventure!",Excited,Excited,Netflix
Prey,Movie,"International Movies, Thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,Tense,Stressed,Netflix
Titipo Titipo,TV Show,"Kids' TV, Korean TV Shows",Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,neutral,Neutral,Netflix
Blood Brothers: Malcolm X & Muhammad Ali,Movie,"Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",fear,Anxious,Netflix
Mighty Raju,TV Show,Kids' TV,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place â but that will mean facing plenty of challenges!",neutral,Neutral,Netflix
Paradise Hills,Movie,"Sci-Fi & Fantasy, Thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. Thatâs bad enough, but its real purpose is even worse.",disgust,Stressed,Netflix
The Women and the Murderer,Movie,"Documentaries, International Movies",This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,disgust,Stressed,Netflix
Into the Night,TV Show,"International TV Shows, TV Dramas, TV Mysteries",Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,fear,Anxious,Netflix
JJ+E,Movie,"Dramas, International Movies, Romantic Movies","Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",Happy,Happy,Netflix
Show Dogs,Movie,"Children & Family Movies, Comedies",A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,neutral,Neutral,Netflix
The Circle,TV Show,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",neutral,Neutral,Netflix
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,"Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",neutral,Neutral,Netflix
Kid Cosmic,TV Show,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined â and he can't do it alone.,sadness,Sad,Netflix
Octonauts: Above & Beyond,TV Show,"British TV Shows, Kids' TV","The Octonauts expand their exploration beyond the sea âÂ and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",fear,Anxious,Netflix
On the Verge,TV Show,"TV Comedies, TV Dramas","Four women â a chef, a single mom, an heiress and a job seeker â dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",Happy,Happy,Netflix
Tobot Galaxy Detectives,TV Show,Kids' TV,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.",neutral,Neutral,Netflix
Untold: Breaking Point,Movie,"Documentaries, Sports Movies","Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",fear,Anxious,Netflix
Countdown: Inspiration4 Mission to Space,TV Show,"Docuseries, Science & Nature TV","From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",neutral,Neutral,Netflix
Shadow Parties,Movie,"Dramas, International Movies, Thrillers",A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,anger,Stressed,Netflix
Tayo the Little Bus,TV Show,"Kids' TV, Korean TV Shows","As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.",Excited,Excited,Netflix
Angamaly Diaries,Movie,"Action & Adventure, Comedies, Dramas","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",disgust,Stressed,Netflix
Bunk'd,TV Show,"Kids' TV, TV Comedies","The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.",Excited,Excited,Netflix
A Champion Heart,Movie,"Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",sadness,Sad,Netflix
Dive Club,TV Show,"Kids' TV, TV Dramas, Teen TV Shows","On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",neutral,Neutral,Netflix
La casa de papel,TV Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.,disgust,Stressed,Netflix
Money Heist: From Tokyo to Berlin,TV Show,"Docuseries, International TV Shows, Spanish-Language TV Shows","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",neutral,Neutral,Netflix
Sharkdog,TV Show,Kids' TV,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",Excited,Excited,Netflix
Worth,Movie,Dramas,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",sadness,Sad,Netflix
Afterlife of the Party,Movie,"Comedies, Romantic Movies",Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,neutral,Neutral,Netflix
Anjaam,Movie,"Dramas, International Movies, Thrillers","A wealthy industrialistâs dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",anger,Stressed,Netflix
Bright Star,Movie,"Dramas, Romantic Movies",This drama details the passionate three-year romance between Romantic poet John Keats â who died tragically at age 25 â and his great love and muse.,Happy,Happy,Netflix
Dhanak,Movie,"Comedies, Dramas, Independent Movies",A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,joy,Happy,Netflix
Final Account,Movie,Documentaries,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.,neutral,Neutral,Netflix
Gurgaon,Movie,"Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems â and plans â of his own.",anger,Stressed,Netflix
Here and There,Movie,"Dramas, International Movies, Romantic Movies","After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.",neutral,Neutral,Netflix
Heroes of Goo Jit Zu,TV Show,"Kids' TV, TV Comedies","After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.",disgust,Stressed,Netflix
Hotel Del Luna,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies","When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",surprise,Excited,Netflix
In the Cut,Movie,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",Happy,Happy,Netflix
Luv Kushh,TV Show,Kids' TV,"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Ramaâs twin sons through their childhood.",Excited,Excited,Netflix
Pororo - The Little Penguin,TV Show,"Kids' TV, Korean TV Shows","On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.",Excited,Excited,Netflix
Q-Force,TV Show,"Crime TV Shows, TV Action & Adventure, TV Comedies","A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywoodâ¦ tomorrow, the world!",joy,Happy,Netflix
Shikara,Movie,"Dramas, International Movies, Romantic Movies",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,Happy,Happy,Netflix
A Cinderella Story,Movie,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,neutral,Neutral,Netflix
Agatha Christie's Crooked House,Movie,"Dramas, International Movies, Thrillers","When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.",Happy,Happy,Netflix
An Unfinished Life,Movie,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",sadness,Sad,Netflix
Barbie Big City Big Dreams,Movie,"Children & Family Movies, Music & Musicals","At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.",joy,Happy,Netflix
Blade Runner: The Final Cut,Movie,"Action & Adventure, Classic Movies, Cult Movies","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",disgust,Stressed,Netflix
Brave Animated Series,TV Show,"International TV Shows, TV Action & Adventure, TV Comedies",A group of superheroes sets out to rid the world of evil â only to realize they may not be standing on the side of justice. Based on a popular comic.,neutral,Neutral,Netflix
Chappie,Movie,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",neutral,Neutral,Netflix
Clear and Present Danger,Movie,"Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",disgust,Stressed,Netflix
Cliffhanger,Movie,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",surprise,Excited,Netflix
Cold Mountain,Movie,"Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",Tense,Stressed,Netflix
Crocodile Dundee in Los Angeles,Movie,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",Happy,Happy,Netflix
Dear John,Movie,"Dramas, Romantic Movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",Happy,Happy,Netflix
Do the Right Thing,Movie,"Classic Movies, Comedies, Dramas","On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",Sad,Sad,Netflix
"El patrÃ³n, radiografÃ­a de un crimen",Movie,"Dramas, International Movies, Thrillers",A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,Sad,Sad,Netflix
Extraction,Movie,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",disgust,Stressed,Netflix
Freedom Writers,Movie,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",disgust,Stressed,Netflix
Green Lantern,Movie,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,neutral,Neutral,Netflix
House Party,Movie,"Comedies, Cult Movies","Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",neutral,Neutral,Netflix
House Party 2,Movie,"Comedies, Cult Movies, Music & Musicals","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",anger,Stressed,Netflix
